,row_number,Date,Date_Normalized,RelDiff_Ozone,Ozone,RelDiff_Ozone_ConstantTrend_residue,RelDiff_Ozone_ConstantTrend_residue_zeroCycle,RelDiff_Ozone_ConstantTrend_residue_zeroCycle_residue,RelDiff_Ozone_ConstantTrend_residue_bestCycle_byL2,RelDiff_Ozone_ConstantTrend_residue_bestCycle_byL2_residue,RelDiff_Ozone_ConstantTrend_residue_Seasonal_MonthOfYear,RelDiff_Ozone_ConstantTrend_residue_Seasonal_MonthOfYear_residue,RelDiff_Ozone_Lag1Trend_residue,RelDiff_Ozone_Lag1Trend_residue_zeroCycle,RelDiff_Ozone_Lag1Trend_residue_zeroCycle_residue,RelDiff_Ozone_Lag1Trend_residue_bestCycle_byL2,RelDiff_Ozone_Lag1Trend_residue_bestCycle_byL2_residue,RelDiff_Ozone_Lag1Trend_residue_Seasonal_MonthOfYear,RelDiff_Ozone_Lag1Trend_residue_Seasonal_MonthOfYear_residue,RelDiff_Ozone_LinearTrend_residue,RelDiff_Ozone_LinearTrend_residue_zeroCycle,RelDiff_Ozone_LinearTrend_residue_zeroCycle_residue,RelDiff_Ozone_LinearTrend_residue_bestCycle_byL2,RelDiff_Ozone_LinearTrend_residue_bestCycle_byL2_residue,RelDiff_Ozone_LinearTrend_residue_Seasonal_MonthOfYear,RelDiff_Ozone_LinearTrend_residue_Seasonal_MonthOfYear_residue,RelDiff_Ozone_PolyTrend_residue,RelDiff_Ozone_PolyTrend_residue_zeroCycle,RelDiff_Ozone_PolyTrend_residue_zeroCycle_residue,RelDiff_Ozone_PolyTrend_residue_bestCycle_byL2,RelDiff_Ozone_PolyTrend_residue_bestCycle_byL2_residue,RelDiff_Ozone_PolyTrend_residue_Seasonal_MonthOfYear,RelDiff_Ozone_PolyTrend_residue_Seasonal_MonthOfYear_residue,Exog2,Exog3,Exog4=E,Exog4=F,Exog4=C,Exog4=D,Exog4=B,Exog5=K,Exog5=L,Exog5=M,Exog5=N
10,10,1955-11-01,0.061663286004056794,0.058394160583941555,8.2,0.05113799890245155,0.0,0.05113799890245155,-0.11923454084226534,0.1703725397447169,-0.11923454084226534,0.1703725397447169,-0.02034599689637339,0.0,-0.02034599689637339,-0.0028182933128058857,-0.017527703583567505,-0.08760595789485395,0.06725996099848056,0.050031217417584574,0.0,0.050031217417584574,-0.11921865975620906,0.16924987717379364,-0.11921865975620906,0.16924987717379364,0.04669483615626695,0.0,0.04669483615626695,-0.11892140274487781,0.16561623890114474,-0.11892140274487781,0.16561623890114474,-0.39101037450630677,0.24564751669071144,1,0,0,0,0,0,0,0,1
11,11,1955-12-01,0.06774847870182556,-0.296551724137931,3.9,-0.30380788581942103,0.0,-0.30380788581942103,-0.09336251326456961,-0.2104453725548514,-0.09336251326456961,-0.2104453725548514,-0.35494588472187255,0.0,-0.35494588472187255,-0.020460997427317794,-0.3344848872945548,0.025872027577695723,-0.3808179122995683,-0.30489930131837306,0.0,-0.30489930131837306,-0.0933312661925984,-0.21156803512577466,-0.0933312661925984,-0.21156803512577466,-0.3080785361042688,0.0,-0.3080785361042688,-0.09306175488364608,-0.21501678122062268,-0.09306175488364608,-0.21501678122062268,0.25277438351922854,0.24564751669071144,0,1,0,0,0,1,0,0,0
12,12,1956-01-01,0.07403651115618662,0.019607843137254864,4.1,0.012351681455764853,0.0,0.012351681455764853,-0.045453228768752976,0.05780491022451783,-0.045453228768752976,0.05780491022451783,0.3161595672751859,0.0,0.3161595672751859,0.0404510200973577,0.2757085471778282,0.04175883081131097,0.2744007364638749,0.011276144142258245,0.0,0.011276144142258245,-0.04549964746844742,0.05677579161070566,-0.04549964746844742,0.05677579161070566,0.008258243800629984,0.0,0.008258243800629984,-0.04563474448641186,0.053892988287041844,-0.04563474448641186,0.053892988287041844,0.25277438351922854,0.8914627621840334,0,0,0,1,0,0,1,0,0
13,13,1956-02-01,0.08032454361054767,0.03846153846153847,4.5,0.03120537678004846,0.0,0.03120537678004846,0.023765586344338414,0.007439790435710046,0.023765586344338414,0.007439790435710046,0.018853695324283607,0.0,0.018853695324283607,-0.014100352048790484,0.03295404737307409,0.06921881511309139,-0.05036511978880778,0.03014571765198728,0.0,0.03014571765198728,0.023735045830089403,0.006410671821897876,0.023735045830089403,0.006410671821897876,0.02728805101709978,0.0,0.02728805101709978,0.023579166463807227,0.0037088845532925532,0.023579166463807227,0.0037088845532925532,0.8965591415447639,-0.40016772880261053,1,0,0,0,0,0,0,1,0
14,14,1956-03-01,0.08620689655172414,0.09259259259259262,5.5,0.0853364309111026,0.0,0.0853364309111026,0.06754400305251901,0.017792427858583593,0.06754400305251901,0.017792427858583593,0.054131054131054145,0.0,0.054131054131054145,0.0008562918634286236,0.05327476226762552,0.043778416708180605,0.01035263742287354,0.08429162556942586,0.0,0.08429162556942586,0.06752795046784694,0.016763675101578918,0.06752795046784694,0.016763675101578918,0.08158282868223671,0.0,0.08158282868223671,0.06734994977255175,0.014232878909684957,0.06734994977255175,0.014232878909684957,-0.39101037450630677,0.24564751669071144,0,1,0,0,0,0,1,0,0
15,15,1956-04-01,0.09249492900608519,-0.1440677966101695,3.8,-0.1513239582916595,0.0,-0.1513239582916595,0.05609541716186204,-0.20741937545352154,0.05609541716186204,-0.20741937545352154,-0.2366603892027621,0.0,-0.2366603892027621,-0.0028182933128058857,-0.23384209588995622,-0.011448585890656988,-0.22521180331210514,-0.15235288544789083,0.0,-0.15235288544789083,0.05609524276263538,-0.20844812821052622,0.05609524276263538,-0.20844812821052622,-0.1549036746381471,0.0,-0.1549036746381471,0.055890090000889674,-0.2107937646390368,0.055890090000889674,-0.2107937646390368,0.25277438351922854,0.8914627621840334,0,0,0,0,0,1,0,0,0
16,16,1956-05-01,0.09858012170385395,0.09900990099009899,4.8,0.09175373930860897,0.0,0.09175373930860897,0.010035803389079456,0.08171793591952951,0.010035803389079456,0.08171793591952951,0.24307769760026848,0.0,0.24307769760026848,-0.020460997427317794,0.26353869502758626,-0.04605961377278256,0.28913731137305104,0.09074017813829259,0.0,0.09074017813829259,0.010050994975767743,0.08068918316252485,0.010050994975767743,0.08068918316252485,0.08834115790915636,0.0,0.08834115790915636,0.009816349395558666,0.0785248085135977,0.009816349395558666,0.0785248085135977,0.8965591415447639,1.5372780076773553,0,1,0,0,0,0,1,0,0
17,17,1956-06-01,0.10486815415821502,0.07207207207207209,5.6,0.06481591039058207,0.0,0.06481591039058207,0.07584992933910008,-0.011034018948518007,0.07584992933910008,-0.011034018948518007,-0.0269378289180269,0.0,-0.0269378289180269,0.0404510200973577,-0.06738884901538461,0.06581412595002063,-0.09275195486804753,0.06381822740571112,0.0,0.06381822740571112,0.07588099911123379,-0.012062771705522668,0.07588099911123379,-0.012062771705522668,0.06157482259592979,0.0,0.06157482259592979,0.07561252103595725,-0.01403769844002746,0.07561252103595725,-0.01403769844002746,1.5403438995702992,0.8914627621840334,0,0,0,0,0,0,1,0,0
18,18,1956-07-01,0.11095334685598378,0.05882352941176473,6.3,0.05156736773027472,0.0,0.05156736773027472,0.0459636826257663,0.00560368510450842,0.0459636826257663,0.00560368510450842,-0.013248542660307353,0.0,-0.013248542660307353,-0.014100352048790484,0.0008518093884831313,-0.029886246713333786,0.016637704053026434,0.0505850507313187,0.0,0.0505850507313187,0.046010118383814955,0.004574932347503745,0.046010118383814955,0.004574932347503745,0.04849103675833642,0.0,0.04849103675833642,0.0457056195421679,0.002785417216168526,0.0457056195421679,0.002785417216168526,0.8965591415447639,2.8289084986639996,0,1,0,0,0,0,1,0,0
19,19,1956-08-01,0.11724137931034483,-0.03174603174603168,5.9,-0.03900219342752169,0.0,-0.03900219342752169,-0.010896649277893421,-0.028105544149628268,-0.010896649277893421,-0.028105544149628268,-0.09056956115779641,0.0,-0.09056956115779641,0.0008562918634286236,-0.09142585302122504,-0.04996515509212999,-0.04060440606566642,-0.03996863224103229,0.0,-0.03996863224103229,-0.010927890548642943,-0.029040741692389346,-0.010927890548642943,-0.029040741692389346,-0.041909553307345096,0.0,-0.041909553307345096,-0.010565345129487239,-0.03134420817785786,-0.010565345129487239,-0.03134420817785786,2.8279134156213694,0.8914627621840334,0,1,0,0,0,0,0,0,1
20,20,1956-09-01,0.12352941176470589,0.22950819672131134,8.7,0.22225203503982133,0.0,0.22225203503982133,0.003336386023311113,0.21891564901651023,0.003336386023311113,0.21891564901651023,0.26125422846734303,0.0,0.26125422846734303,-0.0028182933128058857,0.2640725217801489,0.014233035301204537,0.2470211931661385,0.22130147441175615,0.0,0.22130147441175615,0.003321022938007029,0.21798045147374912,0.003321022938007029,0.21798045147374912,0.21951231440939542,0.0,0.21951231440939542,0.003664872223649497,0.21584744218574592,0.003664872223649497,0.21584744218574592,0.8965591415447639,0.8914627621840334,0,1,0,0,0,0,0,0,1
21,21,1956-10-01,0.12961460446247464,-0.22666666666666668,5.3,-0.2339228283481567,0.0,-0.2339228283481567,-0.031628582947411395,-0.2022942454007453,-0.031628582947411395,-0.2022942454007453,-0.456174863387978,0.0,-0.456174863387978,-0.020460997427317794,-0.43571386596066025,-0.03496496897072251,-0.42120989441725554,-0.23485802299030692,0.0,-0.23485802299030692,-0.03162858004680055,-0.20322944294350637,-0.03162858004680055,-0.20322944294350637,-0.23650161721924012,0.0,-0.23650161721924012,-0.0313060097843529,-0.20519560743488724,-0.0313060097843529,-0.20519560743488724,0.8965591415447639,0.8914627621840334,0,0,0,1,0,1,0,0,0
22,22,1956-11-01,0.1359026369168357,0.03448275862068973,5.7,0.02722659693919972,0.0,0.02722659693919972,-0.11923454084226534,0.14646113778146505,-0.11923454084226534,0.14646113778146505,0.2611494252873564,0.0,0.2611494252873564,0.0404510200973577,0.2206984051899987,-0.08760595789485395,0.34875538318221033,0.026307280482494918,0.0,0.026307280482494918,-0.11921865975620906,0.14552594023870397,-0.11921865975620906,0.14552594023870397,0.02481272838466622,0.0,0.02481272838466622,-0.11892140274487781,0.14373413112954403,-0.11892140274487781,0.14373413112954403,0.8965591415447639,-0.40016772880261053,0,0,0,1,0,1,0,0,0
23,23,1956-12-01,0.14198782961460446,0.0,5.7,-0.007256161681490011,0.0,-0.007256161681490011,-0.09336251326456961,0.0861063515830796,-0.09336251326456961,0.0861063515830796,-0.03448275862068973,0.0,-0.03448275862068973,-0.014100352048790484,-0.02038240657189925,0.025872027577695723,-0.060354786198385454,-0.008160112152279882,0.0,-0.008160112152279882,-0.0933312661925984,0.08517115404031853,-0.0933312661925984,0.08517115404031853,-0.00951179271900486,0.0,-0.00951179271900486,-0.09306175488364608,0.08354996216464122,-0.09306175488364608,0.08354996216464122,-0.39101037450630677,-0.40016772880261053,1,0,0,0,0,1,0,0,0
24,24,1957-01-01,0.1482758620689655,-0.225,3.0,-0.23225616168149002,0.0,-0.23225616168149002,-0.045453228768752976,-0.18680293291273703,-0.045453228768752976,-0.18680293291273703,-0.225,0.0,-0.225,0.0008562918634286236,-0.22585629186342862,0.04175883081131097,-0.26675883081131097,-0.23314423396683445,0.0,-0.23314423396683445,-0.04549964746844742,-0.18764458649838703,-0.04549964746844742,-0.18764458649838703,-0.23434972157040995,0.0,-0.23434972157040995,-0.04563474448641186,-0.1887149770839981,-0.04563474448641186,-0.1887149770839981,-0.39101037450630677,0.24564751669071144,1,0,0,0,0,0,1,0,0
25,25,1957-02-01,0.15456389452332658,0.04301075268817205,3.4,0.035754591006682046,0.0,0.035754591006682046,0.023765586344338414,0.011989004662343632,0.023765586344338414,0.011989004662343632,0.26801075268817204,0.0,0.26801075268817204,-0.0028182933128058857,0.2708290460009779,0.06921881511309139,0.19879193757508065,0.034882396906783034,0.0,0.034882396906783034,0.023735045830089403,0.01114735107669363,0.023735045830089403,0.01114735107669363,0.03382160441850261,0.0,0.03382160441850261,0.023579166463807227,0.010242437954695385,0.023579166463807227,0.010242437954695385,0.25277438351922854,0.24564751669071144,1,0,0,0,0,0,0,1,0
26,26,1957-03-01,0.16024340770791076,0.15463917525773196,4.9,0.14738301357624195,0.0,0.14738301357624195,0.06754400305251901,0.07983901052372294,0.06754400305251901,0.07983901052372294,0.1116284225695599,0.0,0.1116284225695599,-0.020460997427317794,0.1320894199968777,0.043778416708180605,0.06785000586137929,0.14652516106319688,0.0,0.14652516106319688,0.06752795046784694,0.07899721059534993,0.06752795046784694,0.07899721059534993,0.14559374552749316,0.0,0.14559374552749316,0.06734994977255175,0.0782437957549414,0.06734994977255175,0.0782437957549414,0.25277438351922854,0.24564751669071144,0,1,0,0,0,0,0,0,1
27,27,1957-04-01,0.1665314401622718,-0.035714285714285754,4.5,-0.04297044739577577,0.0,-0.04297044739577577,0.05609541716186204,-0.0990658645576378,0.05609541716186204,-0.0990658645576378,-0.19035346097201772,0.0,-0.19035346097201772,0.0404510200973577,-0.23080448106937543,-0.011448585890656988,-0.17890487508136074,-0.04381242172337541,0.0,-0.04381242172337541,0.05609524276263538,-0.0999076644860108,0.05609524276263538,-0.0999076644860108,-0.04460208581155139,0.0,-0.04460208581155139,0.055890090000889674,-0.10049217581244106,0.055890090000889674,-0.10049217581244106,0.25277438351922854,0.8914627621840334,0,0,0,0,0,1,0,0,0
28,28,1957-05-01,0.17261663286004056,-0.04629629629629629,4.0,-0.053552457977786294,0.0,-0.053552457977786294,0.010035803389079456,-0.06358826136686575,0.010035803389079456,-0.06358826136686575,-0.010582010582010533,0.0,-0.010582010582010533,-0.014100352048790484,0.003518341466779951,-0.04605961377278256,0.03547760319077203,-0.05437906631947101,0.0,-0.05437906631947101,0.010050994975767743,-0.06443006129523875,0.010050994975767743,-0.06443006129523875,-0.05503307036964952,0.0,-0.05503307036964952,0.009816349395558666,-0.0648494197652082,0.009816349395558666,-0.0648494197652082,0.8965591415447639,1.5372780076773553,0,0,0,0,0,0,1,0,0
29,29,1957-06-01,0.17890466531440163,0.16504854368932045,5.7,0.15779238200783044,0.0,0.15779238200783044,0.07584992933910008,0.08194245266873036,0.07584992933910008,0.08194245266873036,0.21134483998561673,0.0,0.21134483998561673,0.0008562918634286236,0.21048854812218812,0.06581412595002063,0.1455307140355961,0.15698165185159116,0.0,0.15698165185159116,0.07588099911123379,0.08110065274035737,0.07588099911123379,0.08110065274035737,0.1564662276957193,0.0,0.1564662276957193,0.07561252103595725,0.08085370665976205,0.07561252103595725,0.08085370665976205,1.5403438995702992,2.1830932531706773,0,0,0,0,0,0,1,0,0
30,30,1957-07-01,0.18498985801217038,0.049999999999999975,6.3,0.04274383831850996,0.0,0.04274383831850996,0.0459636826257663,-0.003219844307256338,0.0459636826257663,-0.003219844307256338,-0.11504854368932048,0.0,-0.11504854368932048,-0.0028182933128058857,-0.11223025037651459,-0.029886246713333786,-0.08516229697598669,0.04194847414818561,0.0,0.04194847414818561,0.046010118383814955,-0.004061644235629346,0.046010118383814955,-0.004061644235629346,0.04156557776827106,0.0,0.04156557776827106,0.0457056195421679,-0.0041400417738968395,0.0457056195421679,-0.0041400417738968395,2.1841286575958345,2.8289084986639996,0,1,0,0,0,1,0,0,0
31,31,1957-08-01,0.19127789046653143,0.0634920634920635,7.1,0.05623590181057349,0.0,0.05623590181057349,-0.010896649277893421,0.06713255108846691,-0.010896649277893421,0.06713255108846691,0.013492063492063527,0.0,0.013492063492063527,-0.020460997427317794,0.03395306091938132,-0.04996515509212999,0.06345721858419351,0.05545641582569456,0.0,0.05545641582569456,-0.010927890548642943,0.06638430637433751,-0.010927890548642943,0.06638430637433751,0.05520879755175809,0.0,0.05520879755175809,-0.010565345129487239,0.06577414268124533,-0.010565345129487239,0.06577414268124533,2.8279134156213694,0.8914627621840334,0,1,0,0,0,0,0,0,1
32,32,1957-09-01,0.1975659229208925,0.06716417910447761,8.0,0.0599080174229876,0.0,0.0599080174229876,0.003336386023311113,0.056571631399676484,0.003336386023311113,0.056571631399676484,0.003672115612414109,0.0,0.003672115612414109,0.0404510200973577,-0.03677890448494359,0.014233035301204537,-0.010560919688790428,0.059144409623554106,0.0,0.059144409623554106,0.003321022938007029,0.05582338668554708,0.003321022938007029,0.05582338668554708,0.05903034158755147,0.0,0.05903034158755147,0.003664872223649497,0.05536546936390198,0.003664872223649497,0.05536546936390198,0.8965591415447639,0.8914627621840334,1,0,0,0,0,0,0,0,1
33,33,1957-10-01,0.20365111561866125,-0.19580419580419578,5.2,-0.2030603574856858,0.0,-0.2030603574856858,-0.031628582947411395,-0.1714317745382744,-0.031628582947411395,-0.1714317745382744,-0.2629683749086734,0.0,-0.2629683749086734,-0.014100352048790484,-0.24886802285988294,-0.03496496897072251,-0.2280034059379509,-0.20380859929920436,0.0,-0.20380859929920436,-0.03162858004680055,-0.1721800192524038,-0.03162858004680055,-0.1721800192524038,-0.20379510201065665,0.0,-0.20379510201065665,-0.0313060097843529,-0.17248909222630376,-0.0313060097843529,-0.17248909222630376,0.8965591415447639,0.24564751669071144,0,0,0,1,0,0,0,1,0
34,34,1957-11-01,0.2099391480730223,-0.017391304347826125,5.0,-0.024647466029316136,0.0,-0.024647466029316136,-0.11923454084226534,0.0945870748129492,-0.11923454084226534,0.0945870748129492,0.17841289145636965,0.0,0.17841289145636965,0.0008562918634286236,0.17755659959294104,-0.08760595789485395,0.2660188493512236,-0.02537982965738927,0.0,-0.02537982965738927,-0.11921865975620906,0.09383883009881978,-0.11921865975620906,0.09383883009881978,-0.025236280339398412,0.0,-0.025236280339398412,-0.11892140274487781,0.0936851224054794,-0.11892140274487781,0.0936851224054794,0.25277438351922854,-0.40016772880261053,0,0,0,1,0,1,0,0,0
35,35,1957-12-01,0.21602434077079108,-0.026548672566371667,4.7,-0.03380483424786168,0.0,-0.03380483424786168,-0.09336251326456961,0.05955767901670793,-0.09336251326456961,0.05955767901670793,-0.009157368218545542,0.0,-0.009157368218545542,-0.0028182933128058857,-0.006339074905739656,0.025872027577695723,-0.035029395796241265,-0.03452183189001988,0.0,-0.03452183189001988,-0.0933312661925984,0.058809434302578525,-0.0933312661925984,0.058809434302578525,-0.03425416562752168,0.0,-0.03425416562752168,-0.09306175488364608,0.05880758925612441,-0.09306175488364608,0.05880758925612441,-0.39101037450630677,-0.40016772880261053,0,0,1,0,0,1,0,0,0
36,36,1958-01-01,0.22231237322515213,-0.09090909090909093,3.7,-0.09816525259058094,0.0,-0.09816525259058094,-0.045453228768752976,-0.052712023821827964,-0.045453228768752976,-0.052712023821827964,-0.06436041834271926,0.0,-0.06436041834271926,-0.020460997427317794,-0.043899420915401464,0.04175883081131097,-0.10611924915403023,-0.0988663720472937,0.0,-0.0988663720472937,-0.04549964746844742,-0.05336672457884629,-0.04549964746844742,-0.05336672457884629,-0.09847228219895052,0.0,-0.09847228219895052,-0.04563474448641186,-0.05283753771253866,-0.04563474448641186,-0.05283753771253866,-0.39101037450630677,-1.0459829742959326,1,0,0,0,0,1,0,0,0
37,37,1958-02-01,0.22860040567951317,-0.060000000000000005,3.1,-0.06725616168149001,0.0,-0.06725616168149001,0.023765586344338414,-0.09102174802582842,0.023765586344338414,-0.09102174802582842,0.03090909090909092,0.0,0.03090909090909092,0.0404510200973577,-0.009541929188266782,0.06921881511309139,-0.038309724204000466,-0.06794140295275736,0.0,-0.06794140295275736,0.023735045830089403,-0.09167644878284675,0.023735045830089403,-0.09167644878284675,-0.06742278339175041,0.0,-0.06742278339175041,0.023579166463807227,-0.09100194985555764,0.023579166463807227,-0.09100194985555764,-1.034795132531842,0.24564751669071144,1,0,0,0,0,1,0,0,0
